,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,MARCTagCondition4,MARCTagCondition5,MARCTagCondition6,Unnamed: 23,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
1938,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,abstract of work|is abstract of work,,,,,,,,http://rdaregistry.info/Elements/w/P10126,is abstract of work,,,,,
1939,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,dramatization of work|is dramatization of work,,,,,,,,http://rdaregistry.info/Elements/w/P10127,is dramatization of work,,,,,
1940,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,verse adaptation of work|is verse adaptation of work,,,,,,,,http://rdaregistry.info/Elements/w/P10128,is verse adaptation of work,,,,,
1941,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,motion picture adaptation of work|is motion picture adaptation of work,,,,,,,,http://rdaregistry.info/Elements/w/P10129,is motion picture adaptation of work,,,,,
1942,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,novelization of work|is novelization of work,,,,,,,,http://rdaregistry.info/Elements/w/P10130,is novelization of work,,,,,
1943,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,radio adaptation of work|is radio adaptation of work,,,,,,,,http://rdaregistry.info/Elements/w/P10131,is radio adaptation of work,,,,,
1944,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,television adaptation of work|is television adaptation of work,,,,,,,,http://rdaregistry.info/Elements/w/P10132,is television adaptation of work,,,,,
1945,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,screenplay based on work|is screenplay based on work,,,,,,,,http://rdaregistry.info/Elements/w/P10133,is screenplay based on work,,,,,
1946,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,motion picture screenplay based on work|is motion picture screenplay based on work,,,,,,,,http://rdaregistry.info/Elements/w/P10134,is motion picture screenplay based on work,,,,,
1947,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,television screenplay based on work|is television screenplay based on work,,,,,,,,http://rdaregistry.info/Elements/w/P10135,is television screenplay based on work,,,,,
1948,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,video screenplay based on work|is video screenplay based on work,,,,,,,,http://rdaregistry.info/Elements/w/P10136,is video screenplay based on work,,,,,
1949,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,radio script based on work|is radio script based on work,,,,,,,,http://rdaregistry.info/Elements/w/P10137,is radio script based on work,,,,,
1950,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,video adaptation of work|is video adaptation of work,,,,,,,,http://rdaregistry.info/Elements/w/P10138,is video adaptation of work,,,,,
1951,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,digest of work|is digest of work,,,,,,,,http://rdaregistry.info/Elements/w/P10139,is digest of work,,,,,
1952,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,analysis of work|is analysis of work,,,,,,,,http://rdaregistry.info/Elements/w/P10140,is analysis of work,,,,,
1953,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,issue|has issue,,,,,,,,http://rdaregistry.info/Elements/w/P10141,has issue,,,,,
1954,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,adaptation of work|is adaptation of work,,,,,,,,http://rdaregistry.info/Elements/w/P10142,is adaptation of work,,,,,
1955,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,free translation of work|is free translation of work,,,,,,,,http://rdaregistry.info/Elements/w/P10143,is free translation of work,,,,,
1956,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,parodied as work|is parodied as work,,,,,,,,http://rdaregistry.info/Elements/w/P10144,is parodied as work,,,,,
1957,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,part work|has part work,,,,,,,,http://rdaregistry.info/Elements/w/P10147,has part work,,,,,
1958,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,derivative work|has derivative work,,,,,,,,http://rdaregistry.info/Elements/w/P10148,has derivative work,,,,,
1959,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,errata to work|is errata to work,,,,,,,,http://rdaregistry.info/Elements/w/P10149,is errata to work,,,,,
1960,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,guide to work|is guide to work,,,,,,,,http://rdaregistry.info/Elements/w/P10150,is guide to work,,,,,
1961,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,appendix to work|is appendix to work,,,,,,,,http://rdaregistry.info/Elements/w/P10151,is appendix to work,,,,,
1962,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,illustrations for work|is illustrations for work,,,,,,,,http://rdaregistry.info/Elements/w/P10152,is illustrations for work,,,,,
1963,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,evaluation of work|is evaluation of work,,,,,,,,http://rdaregistry.info/Elements/w/P10153,is evaluation of work,,,,,
1964,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,supplement to work|is supplement to work,,,,,,,,http://rdaregistry.info/Elements/w/P10154,is supplement to work,,,,,
1965,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,adapted as work|is adapted as work,,,,,,,,http://rdaregistry.info/Elements/w/P10155,is adapted as work,,,,,
1966,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,finding aid work|has finding aid work,,,,,,,,http://rdaregistry.info/Elements/w/P10157,has finding aid work,,,,,
1967,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,index work|has index work,,,,,,,,http://rdaregistry.info/Elements/w/P10158,has index work,,,,,
1968,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,screenplay work|has screenplay work,,,,,,,,http://rdaregistry.info/Elements/w/P10159,has screenplay work,,,,,
1969,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,motion picture screenplay work|has motion picture screenplay work,,,,,,,,http://rdaregistry.info/Elements/w/P10160,has motion picture screenplay work,,,,,
1970,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,g,Miscellaneous information (R),,,,musical setting of work|is musical setting of work,,,,,,,,http://rdaregistry.info/Elements/w/P10161,is musical setting of work,,,,,
